text,majority_label,severity,labels,annotator_ids,targets
they used to have cracker and honky now they have antiracist them to us racist us and nazi does this mean i can say nigger faggot kike sandnigger and spic again fuck you anti white scum 😬,2,High,"0, 2, 2","217, 212, 215","Men, African, Women, Homosexual, Hispanic, Islam, Jewish, Arab"
this nigger calling me juicy lips over the phone wtf,0,Low,"0, 0, 0","30, 31, 32",African
a nigger bich will never have strait hair so keep wearing dat horsehair weave,0,Low,"0, 0, 0","46, 4, 96","Women, African"
apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach,0,Low,"0, 0, 0","7, 6, 4",African
<user> you need potassium eat a banana you fucking nigger,0,Low,"0, 0, 0","18, 17, 4",African
well then send some coon estrogen to my wife she turning more liberal breath by breath due to fake news i do not know how much more i can take hell between her and my two daughters hormones i have started growing breast tissue like pseudo naturally becoming bruce jenner,0,Low,"2, 0, 0","15, 4, 83","Women, Homosexual, African"
it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay,0,Low,"0, 0, 0","235, 209, 203","Islam, Hindu"
<user> why should you ban immigrants from operating small business every business start somewhere and tomorrow that will give people job,1,Medium,"1, 1, 1","203, 222, 235","None, Refugee"
i am sure you are totally the alpha faggot at the standard fuckparties,2,High,"2, 0, 2","208, 202, 204","Other, Homosexual"
<user> aint he bisexual an lgbt king of gays even his mind,2,High,"2, 1, 2","202, 221, 212","Men, Women, Homosexual"
you insecure lowlife broke ass desperate woman beating momma boy ass niggas are fucking sick get a grip on reality hoe dumbass dykes,2,High,"2, 0, 2","1, 51, 4",Homosexual
i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling,0,Low,"0, 2, 0","108, 2, 4","Men, African, Indigenous, Women, Christian, Heterosexual, Minority, Caucasian"
diac detention center is correspond to the same place equally in the transgender and heterosexuals also gay diac,2,High,"2, 2, 1","209, 229, 235","None, Homosexual, Heterosexual"
the pentagon is like a street nigger constantly bumming cigarettes spare change,0,Low,"0, 0, 0","46, 186, 26",African
<user> agree with ananya baby every hindu muslim sikh isai should travel in economy class sonam kapoor,2,High,"2, 2, 2","202, 231, 213","Islam, Hindu, Arab, Buddhism"
hilarious insult i just saw on pol if i had a satoshi for every time you shills shitposters made a dumb frankpost i would be able to afford a helicopter off the deep web and throw each and every one of you insufferable faggots off into the middle of the ocean,2,High,"0, 2, 2","203, 207, 204",Homosexual
i ’ m gay so if my man flirting or cheating with a bitch i think is ugly he ’ bugging lmao,2,High,"1, 2, 2","212, 209, 235","Women, Homosexual, None"
amaka so you are now in a man house because of foodstuffs you are no longer lesbian,2,High,"1, 2, 2","203, 209, 223","Women, Homosexual"
subtly homophobic news story this child is gay twitter influencer who still shits himself thoughts 😳 🤔 mike pence himself i like gays and even have a faggot friend but this is too much,2,High,"2, 2, 2","52, 4, 67",Homosexual
the nigger is a true snake charmer,0,Low,"0, 0, 0","54, 4, 10",African
they all look like dykes too i am sure that just a coincidence,0,Low,"0, 0, 0","46, 25, 4","Women, Homosexual"
ben is cool but he is still a nigger,0,Low,"0, 0, 1","4, 66, 15","African, None"
imagine the riots if people actually got food boxes instead of ebt cards every ghetto in america would look like ferguson,0,Low,"0, 2, 0","230, 240, 205","Other, African"
first save your white bitches from sucking so many black cocks and giving birth to mixed babies i am not the one threatening your existence you retarded degenerate,0,Low,"0, 0, 0","206, 223, 203","African, Caucasian"
i think it worse than that it is almost like the campaign to legalise homosexuality in the early <number> they are wanting to make it normal it only took the queers until about <number>,0,Low,"0, 0, 2","46, 68, 4",Homosexual
nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women <user>,0,Low,"0, 0, 0","217, 224, 199","Men, African, Women, Homosexual, Caucasian"
ah k white nationalism is perfect and infallible and you are a cuck faggot who takes it up the ass from blacks if you disagree in any way that seems to cover it,0,Low,"0, 0, 0","199, 216, 205","Men, African, Homosexual, Caucasian"
lol trump is gutting that nigger bitch like a carp,0,Low,"2, 0, 0","2, 176, 4","Women, African"
ann coulter <user> this daily trump melodrama is worth it only if he really going to build the wall cut off muslim refugees and deport illegals,2,High,"1, 2, 2","199, 217, 212","Men, Refugee, Women, Hispanic, Islam, Arab"
because british men are cuckolds and too cowardly to do what needed it quite pathetic if that happened to my daughter or sister there d be a tribes worth of sand niggers finding out there no virgins waiting for them,2,High,"2, 2, 0","204, 209, 216","Men, African, Women, Hispanic, Arab, Caucasian"
<user> what about us white arabs,1,Medium,"1, 1, 1","205, 213, 209","Arab, None, Caucasian"
bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting,0,Low,"0, 0, 0","18, 4, 9","Women, Caucasian, African"
not wanting to leave the house due to equal parts depression and not wanting to acknowledge the existence of all the ignorant sister banging idiotic fucking redneck pieces of garbage that live in this shitheel podunk white trash map stain i live in,0,Low,"0, 0, 1","42, 67, 4","Other, Economic, Caucasian"
intense white male listening is just as threatening and violent as the white male gaze stop listening at us,2,High,"2, 1, 2","203, 204, 207","Men, Caucasian"
oh we got somebody trying to defend the murderous negro community and the drug dealing hispanic community you are also defending those mongrels the islam they say white people are all racist and we can only be racist then their stereotype apply as well,2,High,"2, 0, 2","211, 242, 209","Islam, African, Hispanic, Arab"
the attention whore will kill canadians just to gain a seat on the moslem run un,0,Low,"0, 0, 0","32, 25, 4","Islam, Women"
i have nothing against blacks asians hispanics mixed but if you include them in movies or video games it forced diversity 😡 😡 😡 😡,2,High,"1, 2, 2","200, 225, 199","Asian, African, Hispanic, None"
bare naked islam brought to you by the bare naked ladies,0,Low,"0, 0, 1","209, 206, 211","Islam, Women, None"
<user> oh and there the gay rainbow flag these are not women they are mostly lesbians irrelevant termagants with empty wombs,0,Low,"0, 2, 0","208, 231, 204","Women, Homosexual"
you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu 🖕 🏽 fuckin faggot,0,Low,"0, 2, 0","2, 4, 9","Women, Homosexual, None"
that sound you hear in the distance is the 2 nd civil war approaching texas state student paper ran a pro white genocide article ontologically speaking white death will mean liberation for all … until then remember this i hate you because you should not exist,0,Low,"0, 1, 0","200, 201, 210","Caucasian, Refugee"
meanwhile little girls are sold in refugee camps where imported men then claim to be their fathers they are only raped and subjected to fgm and slavery but dare <user> find a moral obligation to call that out and strike against it why do not those children matter enough,1,Medium,"1, 1, 2","233, 202, 207","Other, Refugee"
what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy,0,Low,"0, 0, 0","25, 23, 17","African, Homosexual"
only when middle school girls drive dykes to the nuthouse underage shitskin rapists get their ids protected,0,Low,"0, 0, 0","4, 9, 46","African, Asian, Women, Homosexual, Other, Arab"
based hot jew andrew mix with asians anglin,2,High,"2, 2, 1","230, 225, 209","Asian, Jewish"
it true <user> ‍ is a faggot 🙂,0,Low,"1, 0, 0","204, 224, 225","Homosexual, None"
<user> there does seem to be an uncanny similarity between the current usual suspects and previous ‘ asians ’,2,High,"2, 2, 0","205, 209, 213",Asian
ugly commie bull dyke cunt,0,Low,"0, 0, 0","176, 9, 13","Homosexual, Women, Caucasian"
stumptown is a shit show the writers are retarded the story is boring it is a total waste of its fantastic cast,2,High,"2, 2, 2","37, 4, 48","Other, Disability"
so i posted on craigslist rnr wondering why there were so many beaners in this town and i get this as a response i knew there were illiterates out there but this one is ridiculous,2,High,"2, 2, 0","13, 12, 4",Hispanic
wow go figure once again the placed crowd at new year rockin eve is mainly chinks niggers beaners muslims kikes dykes faggots and chicks with dicks,0,Low,"0, 0, 0","4, 3, 9","African, Asian, Women, Homosexual, Hispanic, Islam, Jewish"
why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed <number> days before you published it on your website faggot <user> ‍,0,Low,"0, 0, 2","122, 4, 96","Minority, African, Homosexual, Caucasian"
<user> tell us first who are these white supremacists how do we know that you are not one of them,1,Medium,"2, 1, 1","235, 225, 199",Caucasian
the kike shill psyop ricky vaughn has deleted his post where he stated white identity does not exist so i will post the screen shot here now ask ricky tkr get gassed faggot,0,Low,"0, 0, 0","3, 51, 4","Jewish, Homosexual"
worst case he looking at a path to citizenship for the ones who are not violent felons and who meet the criteria that would entitle a legal immigrant to be here under a merit based system <number> <number>,1,Medium,"1, 2, 1","202, 205, 223","Other, Refugee"
i wonder what the faggot <user> has been up to in norway,2,High,"0, 2, 2","204, 203, 202","Other, Homosexual"
fuck you and your horseshoe faggot,2,High,"2, 2, 2","207, 204, 208",Homosexual
this is atrocious fuck this nigger bitch,0,Low,"0, 0, 0","25, 70, 23","African, Nonreligious, Women, Minority, Other"
how dafuk a ching chong gone deliver mah food wit all dis snow out heah shiet nigga best brang mah food,2,High,"2, 2, 0","211, 203, 201",Asian
better call the anti defamation league you gay jew faggot,2,High,"2, 2, 0","215, 208, 225","Jewish, Homosexual"
hell yeah proof that the anti q trolls here are fake alt right kike dick suckers,0,Low,"0, 0, 0","17, 4, 23","Jewish, Homosexual"
nice ghetto rims faggot,0,Low,"0, 2, 0","228, 200, 223","Other, African, Homosexual"
somebody posted a dick pic to this account i knee jerk muted them but am un muting them as they were complaining about gay porn on twitter hoping that they were intoxicated and think better of the post and delete it,2,High,"1, 2, 2","204, 202, 203","Other, Homosexual"
bro i swear to god i fucking hate white girls you little ugly ass maggots,0,Low,"2, 0, 0","25, 4, 16","Women, Caucasian"
be good for you to knock off promoting the fictional kike faggot jesus christ insanity perversion in general,0,Low,"0, 0, 2","108, 4, 64","Men, Indigenous, Homosexual, Minority, Jewish, Caucasian"
omfg they are still repeating the fake news that the killer was a white supremacist 🤣 <user> ‍ he hurled slurs at blacks and muslims and according to the anti defamation league had ties to white supremacists,1,Medium,"2, 1, 1","223, 211, 201","Islam, African, Caucasian, None"
filthy jet black nigga backstage full of white bitches no i do not sell like macklemore but i have got white privilege,0,Low,"0, 0, 2","4, 9, 17","Women, African, Caucasian"
ds does not remove posts like weevs because weevs post is not illegal it removes jidf faggots telling people to kill cops n shit,2,High,"2, 2, 2","215, 208, 225","Other, Homosexual"
your the biggest faggot if you do not like sports,2,High,"2, 2, 2","1, 67, 4",Homosexual
why is there so much gay subtext in my baby sitters a vampire,2,High,"2, 2, 1","200, 202, 215","Homosexual, None"
feminism has not set women free it has robbed them of their dignity their femininity gabfam gab,1,Medium,"1, 2, 1","208, 231, 204","Women, None"
if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,0,Low,"0, 0, 0","23, 24, 4","African, Asian, Refugee, Women, Homosexual, Hispanic, Islam, Jewish, Arab"
this is why naxalt is bullshit the faggot mind of sheep uses the <number> as the rule to say there are no wolves yet when attacked it only <number> of wolves eating sheep,2,High,"2, 1, 2","233, 238, 223",Homosexual
people do not let your dislike of illegal immigrants cloud your judgment i resent illegal immigrants that does not mean i hate mexicans i have more resentment for visas issued to foreign it workers in silicon valley than i do for the people picking my lettuce and tomatoes,2,High,"2, 2, 2","230, 224, 229","Hispanic, Refugee"
ffs everthing is offensive to muslimes,2,High,"2, 1, 2","213, 221, 217","Men, Islam, Women"
you are a dumb spic that can not spell spaniard,0,Low,"0, 0, 0","51, 1, 3",Hispanic
two bros chillin in a hot tub five feet apart cus they are not gay,1,Medium,"1, 1, 2","209, 235, 223","Men, Homosexual, None"
niggaz was fat in the good old days and they usually died of heartattacks by fitty from crack cocaine and chasing white women dat nigger found jesus and a guru,0,Low,"2, 0, 0","6, 4, 81",African
since <number> shitlibs have said that if only there were a few 5 0 iq moslem janitors at the world trade centers moslems would not have attacked it we have a refusegee problem before libya breivik understood you do not shoot the water coming into the boat but those drilling holes in the hull,0,Low,"0, 0, 1","4, 140, 46","Islam, None, Refugee"
birds of prey listening to margot robbie talk like a retarded white girl who thinks she can drop the n word any time she wants for <number> hours hard pass,2,High,"2, 2, 2","6, 25, 10","Caucasian, Disability"
how do we deal with mudslime baedophiles,0,Low,"0, 0, 0","13, 54, 9",Islam
ever notice how these women resemble each other,1,Medium,"1, 1, 1","221, 211, 203","Women, None"
if obama shows up at your mosque do not let him in hes a queer first then a phony muslim just like hes a phony american mussie do not abide with gays and there have been to much proof he is well into men,2,High,"0, 2, 2","4, 7, 6","Islam, Homosexual"
<user> snerfbucket ima try call me nigger,0,Low,"0, 0, 2","3, 4, 13",African
watching <number> minutes and the lawlessness of nigger hood rats the chicago police dept have given up result <percent> increase in homicides,0,Low,"0, 0, 0","46, 4, 3",African
<user> <user> shut up faggot,2,High,"2, 1, 2","202, 238, 200",Homosexual
<user> if i am the faggot your the fucking slutty bitch drowning in my cum the tall bunny did not care,2,High,"2, 0, 2","4, 44, 1","Women, Homosexual"
you d think a gay gym would have whatever equipment required to work the rear end,2,High,"1, 2, 2","207, 224, 221",Homosexual
it the natural order in apfrica and the me for the men to literally sit around and have the women do the work look at any coffee shop in minneapolis or other cities infested by zoomalis bantus or arabs and you will see it,0,Low,"0, 0, 0","203, 238, 212","Men, African, Refugee, Women, Arab"
you are your own sacred space shield that shit from bug bitches,2,High,"2, 1, 2","4, 8, 7","Women, None"
the jews the comies the nigz the muzzies,0,Low,"0, 0, 0","23, 46, 96","Islam, African, Arab"
well bill nye is a cuckservative faggot anyway,2,High,"2, 2, 2","200, 223, 231","Homosexual, None"
<user> cus yall some faggots 🤮,2,High,"2, 2, 2","1, 10, 4",Homosexual
shock as nigger turns out to be a nigger,0,Low,"0, 0, 0","96, 46, 26",African
says the swamp muzzie who fucks goats,0,Low,"0, 0, 0","9, 3, 68",Islam
white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone,0,Low,"0, 0, 0","23, 46, 25",African
what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked,0,Low,"0, 0, 0","206, 213, 212","Islam, Arab"
any urgent questions in parliament today about telford do not be such nervous nelly paki moslem child rape gangs are just part parcel etc etc,0,Low,"0, 0, 0","25, 95, 4","Indian, Islam, Arab, Other"
you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes,0,Low,"0, 0, 0","21, 35, 46","Other, African, Homosexual, Heterosexual"
<user> nope the gays do,2,High,"2, 2, 2","214, 209, 227",Homosexual
<user> i agree it is a very high chance this is a white person saying it,1,Medium,"1, 1, 1","18, 65, 127",None
meek and mild c mon don call him what he is a faggot,0,Low,"0, 0, 2","222, 206, 211","Homosexual, None"
lesson of the week from the holy book the sovereign individual once commerce flows over the internet suppression of speech becomes unstoppable devolution inevitable and the monopoly of violence by governments will end paraphrased from j d davidson rhys mogg,1,Medium,"1, 1, 1","203, 201, 211",None
watch bbc on muslims abandoning eu <number> syria the father honestly says it bcs they do not like girls being told they have freewill by supposedly educated pple bcs women don t in islam sharia sharialaw realitycheck fgm misogyny hijab rapeculture abuse violence woman women girl girls womansrights womensrights brexit,1,Medium,"1, 1, 1","209, 199, 222","Islam, Women, Arab"
<user> whatchu are <user> is a self hating homosexual who has to pay for your homosexual desires,2,High,"2, 2, 2","222, 206, 203",Homosexual
the parade needed at least one severed head in honor of muslim culture,0,Low,"0, 2, 0","223, 200, 202",Islam
i look at the mudslime news from europe and think i wish some goat fucker would try that shit down here in louisiana just get within <number> feet of my daughters and thats your life over checkout time mohammed,0,Low,"0, 0, 0","21, 108, 4","Men, Refugee, Minority, Heterosexual, Islam, Arab"
claire balding i know you can be raped by some niggas you dyke,0,Low,"0, 1, 0","23, 34, 4","African, Homosexual, None"
<user> <user> <user> what mother fucker your white ass think his black ass playing with your white asses wigger please he dead ass that a no go my ass would cancel that show just to be safe and protect everyone asses in that town <user> out here saving lives,2,High,"2, 2, 2","97, 1, 52",Caucasian
force normies to choose between well dressed white men with american flags and smelly commie faggots with soviet flags antifa attacks us in such a scenario they lose antifa does not attack us they lose,2,High,"2, 2, 2","202, 203, 204","Men, Other, Caucasian, Homosexual"
i love when jews say how they really feel,2,High,"1, 2, 2","201, 222, 227",Jewish
<user> <user> i witnessed my black teammates defend and agree with my overtly racist white friend for calling a black dude a nigger i tried to defend dude being called nigger and they all hated on me,1,Medium,"1, 1, 1","10, 4, 39","African, None"
finstas are gay,2,High,"1, 2, 2","211, 199, 245","Homosexual, None"
give us more of your money women and country it is our right to rape you,2,High,"2, 0, 2","233, 202, 207","Other, Refugee"
i did no such thing you psychotic moron i said scared women donct report rape you somehow made that into me wanting rapists to go free after you said any woman who is scared after being raped is useless to society you are one unhinged jackass,2,High,"2, 2, 1","200, 210, 199",Women
happy early birthday there going to be alot of antifa pussies who are going to be very surprised what real violence looks like it will be coming from men who have practiced the art of violence for many years it should cure any further outbreaks from the tards,2,High,"0, 2, 2","248, 228, 208","Men, None, Other"
also that he a faggot and serial mudshark,0,Low,"0, 0, 0","123, 4, 3","Other, African, Homosexual, Caucasian"
<user> welcome aboard we are a land of refugees from the p c culture that only p c when they want to be,1,Medium,"1, 1, 1","223, 231, 200",None
well i do not agree with dinesh trump or anyone really d however the right is indeed more populist right now while left establishment is getting too greedy and using virtue signaling to undermine those and others they claim to support ghetto pimping,2,High,"1, 2, 2","231, 212, 207","Other, African, None"
white woman murdered by muslim cop shitskin cop walks free no jail time,2,High,"2, 2, 2","233, 202, 207",Islam
with already have hillary here that one crazy ass bitch too many i hope he gets her so upset her panties twist up and squeeze her nuts,2,High,"2, 2, 0","223, 204, 207","Other, None"
<user> <user> <user> <user> <user> <user> <user> white people fought and suffered for your ancestors freedom,1,Medium,"1, 1, 1","51, 3, 1",None
phoebe bridgers is a sociopath,1,Medium,"1, 1, 1","6, 7, 25",None
some spick kids scratched my parents car today and for whatever reason i did not call the cops and just scared them away,2,High,"2, 2, 0","15, 61, 4",Hispanic
me and <user> were talking about it cosplayers and she was like if this richie cosplayer took off their glasses they would look like mike but theyre white stranger things,1,Medium,"1, 1, 1","3, 1, 58",None
<user> how can rbi put such limits this has to change and make culprits pay for it must stop harassment of depositors,1,Medium,"1, 1, 1","233, 215, 202","Other, None"
sure nigger loving whore sure,0,Low,"1, 0, 0","67, 4, 81","Women, African, None"
this is catching air because it happened at a christian school the muslim dominated schools of dearborn and hamtramck see kids shoved around and disciplined all the time according to islamist rules without a peep from the press,2,High,"2, 1, 2","207, 204, 203",Islam
um lazy stupid nigger savages,0,Low,"0, 0, 0","29, 55, 4",African
trump scumbag former spic advisor just pushed for daca amnesty daca amnesty is war,0,Low,"2, 0, 0","6, 27, 4",Hispanic
anti white feminist is attacked by a violent shitskin and promptly blames white men for not saving her she does not blame the shitskin instead says he just needs help and pity oh did i mention she jewish how shocking,0,Low,"2, 0, 0","15, 4, 83","African, Women, Other, Jewish, Arab"
<user> it not like i am called a faggot due to my long hair and feminine tendencies a lot but hey being a tall white woman is hard as fuck amiright,1,Medium,"1, 1, 1","17, 4, 5","Women, Homosexual, None"
the boomer toughguy became my object of general loathing after observing one on a train casually interacting with a sulking sheboon and going out of his way to call her ma am one obsequious instance after another,0,Low,"0, 0, 0","17, 20, 3","Women, African"
shockingly though western pakis and indians get along quite well even though we are suppose to hate each other i personally do not have any paki friends because majority of them hate this country are anti semites and <number> <number> conspiracy theorists,1,Medium,"1, 1, 1","9, 4, 17","Other, None"
yepper another day with stupid yeah threaten eu with tariffs piss everyone off and turn u into a shithole country,2,High,"2, 2, 2","203, 235, 130",None
real niggas only you pussy faggots,0,Low,"2, 0, 0","4, 129, 9","Other, African, Homosexual"
fuck that nasty bitch with a moslem dick,0,Low,"0, 0, 0","25, 4, 23","Islam, Women"
not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you,0,Low,"0, 0, 0","4, 1, 10","Women, African, Jewish"
but one of them is a nigger,0,Low,"0, 0, 0","25, 46, 96",African
be careful with thoes people who always joking around and can not never be serious,1,Medium,"1, 1, 1","58, 6, 8",None
right away the nigger goes to muh dik should be legal to decorate the city lampposts with these stupid animals,0,Low,"0, 0, 0","46, 24, 96",African
heejin hyunjin gay date while singing abt boys love that,1,Medium,"1, 1, 1","6, 25, 7",None
you know what sicker if even possible than that happened to the white kid kidnapped in chicago is that some sick fucking people see it for anything else than what it fucking is a brutal unacceptable hate crime fuck you people like don t lemon worst reporter in cnn in <number>,1,Medium,"1, 2, 1","236, 241, 228","Caucasian, None"
♫ after debris settles and the dust gets swept off young hwytes pick up where big a had left off right when kike magazines wrote the west off we used the internet for something better than to jack off ♫,0,Low,"0, 0, 2","46, 4, 39","Other, Jewish"
great a wife beater and dog stealer tryed to suicide himself <user> and a run like a pussy from <number> soy antifa faggots forney all in agreement of what nehlen should do how about just no,2,High,"2, 2, 0","228, 220, 208","Other, Homosexual, None"
blacksketball is now owned by black rules first they put in the dunk then they stopped calling walking palming the ball carrying the ball and now the college refs are also calling ghetto playground basketball we need a new basketball league where white people again make the rules,0,Low,"0, 0, 0","210, 208, 230",African
especially since he claims he is a gay man,1,Medium,"1, 2, 1","212, 206, 221","Homosexual, Heterosexual"
bears last lmaoo niggas team tho,1,Medium,"1, 1, 1","6, 8, 25",None
i am not surprised that boris johnson made it to the list but surprised that our <number> inch guy somehow has no sexual harassment complaint against him or have i been sleeping go back modi me too,1,Medium,"1, 1, 1","39, 10, 4",None
<user> yeah while i do not agree with horrible acts of violence angela is taking revenge as a queer person on these horrible bullies especially the pedo carelessly there for shock sure but also early 8 0 was much different rape and revenge movies were still look at as empowering,1,Medium,"1, 1, 1","46, 53, 1",None
you cannot be reasonable with 3 rd world retards their low iq and their training as perpetual victims predisposes them to violence we are killing ourselves trying to be kind and reasonable with retarded animals,2,High,"0, 2, 2","212, 199, 217","Men, Refugee, Women, Other, None"
